EXERCICI_COMPTAB,AREA,SERVEI,PROGRAMA,CAPITOL,PARTIDA,DESCRIPCIO_PARTIDA,PRESSUPOST_DEFINITIU,LIQUIDACIO
2012,,,0-DEUDA PUBLICA,9-PASSIUS FINANCERS,12   2011 01101   91300,AMORTIT. PRES A MIG/LLARG TERM,12201855,
2012,,,0-DEUDA PUBLICA,9-PASSIUS FINANCERS,12   2011 01101   91301,AMORTIT. PRES A LL/T APLICACIÓ,0,
2013,,,0-DEUDA PUBLICA,9-PASSIUS FINANCERS,13   2011 01101   91100,AMORTIT. PRESTEC A MIG/LLARG T,121500,
2013,,,0-DEUDA PUBLICA,9-PASSIUS FINANCERS,13   2011 01101   91300,AMORTIT. PRES A MIG/LLARG TERM,13718867,
2014,,,0-DEUDA PUBLICA,9-PASSIUS FINANCERS,14   2011 01101   91100,AMORTIT. PRESTEC A MIG/LLARG T,127000,
2014,,,0-DEUDA PUBLICA,9-PASSIUS FINANCERS,14   2011 01101   91300,AMORTIT. PRES A MIG/LLARG TERM,13892685.45,
2015,,,0-DEUDA PUBLICA,9-PASSIUS FINANCERS,15   2011 01101   91100,AMORTITZ.PRÉSTECS SECTOR PÚB.M,132500,
2015,,,0-DEUDA PUBLICA,9-PASSIUS FINANCERS,15   2011 01101   91300,AMORTITZ.PRÉSTECS MIG/LLARG TE,11717500,
2015,,,0-DEUDA PUBLICA,9-PASSIUS FINANCERS,15   2011 01101   91301,AMORTITZ.PRÉSTECS LLARG TERM.A,333333.36,
2016,,,0-DEUDA PUBLICA,9-PASSIUS FINANCERS,16   2011 01101   91100,AMORTITZ.PRÉSTECS SECTOR PÚB.M,139559.72,
2016,,,0-DEUDA PUBLICA,9-PASSIUS FINANCERS,16   2011 01101   91300,AMORTITZ.PRÉSTECS MIG/LLARG TE,11057481.58,
2016,,,0-DEUDA PUBLICA,9-PASSIUS FINANCERS,16   2011 01101   91301,AMORTITZ.EXTRAORDINÀRIA CRÈDIT,5752231.75,
2017,,,0-DEUDA PUBLICA,9-PASSIUS FINANCERS,17   2011 01101   91100,AMORTITZ.PRÉSTECS SECTOR PÚB.M,130000,
2017,,,0-DEUDA PUBLICA,9-PASSIUS FINANCERS,17   2011 01101   91300,AMORTITZ.PRÉSTECS MIG/LLARG TE,9238640.45,
2017,,,0-DEUDA PUBLICA,9-PASSIUS FINANCERS,17   2011 01101   91301,AMORTITZ.EXTRAORDINÀRIA DE CRÈ,770698.4,
2018,,,0-DEUDA PUBLICA,9-PASSIUS FINANCERS,18   2011 01101   91100,AMORTITZ.PRÉSTECS SECTOR PÚB.M,130000,
2018,,,0-DEUDA PUBLICA,9-PASSIUS FINANCERS,18   2011 01101   91300,AMORTITZ.PRÉSTECS MIG/LLARG TE,8998000,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1222 13001   120,ANTIG. SOU BASE FUNCIONARIS SE,281153,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1222 13001   121,RETRIB. COMPLEMENT. FUNCIONARI,346321,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1222 13001   130,RETRIB. PERSONAL LABORAL FIXE ,28327,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1222 13001   150,COMPLEMENT PRODUCTIVITAT SERV.,103971,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1222 13001   160,QUOTES SOCIALS SERV. ADMIN. PO,194526,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1222 13201   120,ANTIG. SOU BASE FUNCIONARIS PO,2092911.79,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1222 13201   121,RETRIB. COMPLEMENT. FUNCIONARI,5614673.76,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1222 13201   130,RETRIB. PERSONAL LABORAL FIXE ,0,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1222 13201   150,COMPLEMENT PRODUCTIVITAT POLIC,1026571.53,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1222 13201   160,QUOTES SOCIALS POLICIA MUNICIP,2618874,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1222 13401   120,ANTIG. SOU BASE FUNCIONARIS PR,26036,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1222 13401   121,RETRIB. COMPLEMENT. FUNCIONARI,36853,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1222 13401   150,COMPLEMENT PRODUCTIVITAT PROTE,11052,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1222 13401   160,QUOTES SOCIALS PROTECCIÓ CIVIL,18023,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1224 13301   120,ANTIG. I SOU BASE FUNCIONARIS ,54584,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1224 13301   121,RETRIB. COMPLEMENT.FUNCIONARIS,72027,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1224 13301   150,COMPLEMENT PRODUCTIVITAT MANT.,20231,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1224 13301   160,QUOTES SOCIALS MANT. SENYALITZ,34281,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1224 13302   120,ANTIG. SOU BASE FUNCIONARIS GE,67916.4,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1224 13302   121,RETRIB. COMPLEMENT.FUNCIONARIS,114780.95,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1224 13302   130,RETRIB. PERSONAL LABORAL FIXE ,49355,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1224 13302   150,COMPLEMENT PRODUCTIVITAT GESTI,39456.97,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1224 13302   160,QUOTES SOCIALS GESTIÓ MOBILITA,64565.9,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1432 15099   120,ANTIG. I SOU FUNCIONARIS ADMIN,101677,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1432 15099   121,RETRIB. COMPLEMENT. FUNCIONARI,174907,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1432 15099   150,COMPLEMENT PRODUCTIVITAT ADMIN,33534,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1432 15099   160,QUOTES SOCIALS ADMINISTRACIÓ U,57839,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1432 15105   120,ANTIG. I SOU FUNCIONARIS GESTI,80353,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1432 15105   121,RETRIB. COMPLEMENT. FUNCIONARI,113857,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1432 15105   130,RETRIB. PERSONAL LABORAL FIXE ,44952,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1432 15105   150,COMPLEMENT PRODUCTIVITAT GESTI,30450,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1432 15105   160,QUOTES SOCIALS GESTIÓ DEL SOL,57434,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1432 15108   120,ANTIG. I SOU FUNCIONARIS PROT.,82486,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1432 15108   121,RETRIB. COMPLEMENT. FUNCIONARI,108006,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1432 15108   150,COMPLEMENT PRODUCTIVITAT PROT.,28158,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1432 15108   160,QUOTES SOCIALS PROT. LEGALITAT,48510,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1432 15109   120,ANTIG. I SOU FUNCIONARIS LLICÈ,229394,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1432 15109   121,RETRIB. COMPLEMENT. FUNCIONARI,321191,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1432 15109   130,RETRIB. PERSONAL LABORAL FIXE ,129639,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1432 15109   150,COMPLEMENT PRODUCTIVITAT LLICÈ,101410,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1432 15109   160,QUOTES SOCIALS LLICÈNCIES,184462,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1432 15112   120,ANTIG. I SOU FUNCIONARIS INFOR,38360,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1432 15112   121,RETRIB. COMPLEMENT. FUNCIONARI,67374,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1432 15112   150,COMPLEMENT PRODUCTIVITAT INFOR,16551,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1432 15112   160,QUOTES SOCIALS INFORMACIÓ URBA,26277,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1432 15199   120,ANTIG. I SOU FUNCIONARIS URBAN,75998,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1432 15199   121,RETRIB. COMPLEMENT. FUNCIONARI,101642,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1432 15199   130,RETRIB. PERSONAL LABORAL URBAN,0,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1432 15199   150,COMPLEMENT PRODUCTIVITAT URBAN,25105,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1432 15199   151,GRATIFICACIONS URBANISME,0,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1432 15199   160,QUOTES SOCIALS URBANISME,42452,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1432 15199   162,DESPESES SOCIALS DEL PERSONAL ,0,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1433 15101   120,ANTIG. I SOU FUNCIONARIS REDAC,195258,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1433 15101   121,RETRIB. COMPLEMENT. FUNCIONARI,268603,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1433 15101   130,RETRIB. PERSONAL LABORAL FIXE ,118271,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1433 15101   150,COMPLEMENT PRODUCTIVITAT REDAC,88166,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1433 15101   160,QUOTES SOCIALS REDACC. PROJECT,152546,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1433 15102   120,ANTIG. I SOU BASE FUNCIONARIS ,67859,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1433 15102   121,RETRIB. COMPLEMENT. FUNCIONARI,112935,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1433 15102   130,RETRIB. PERSONAL LABORAL FIXE ,0,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1433 15102   150,COMPLEMENT PRODUCTIVITAT DIREC,30786,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1433 15102   160,QUOTES SOCIALS DIREC. OBRES,48292,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1433 15103   120,ANTIG. I SOU BASE FUNCIONARIS ,35224,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1433 15103   121,RETRIB. COMPLEMENT. FUNCIONARI,44304,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1433 15103   150,COMPLEMENT PRODUCTIVITAT ASSIS,10219,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1433 15103   160,QUOTES SOCIALS DIREC. OBRES,22018,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1434 17103   120,ANTIG. SOU BASE FUNCIONARIS GE,39788,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1434 17103   121,RETRIB.COMPLEMENT. FUNCIONARIS,72296,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1434 17103   130,RETRIB. PERSONAL LABORAL FIXE ,31444,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1434 17103   150,COMPLEMENT PRODUCTIVITAT GEST.,23256,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1434 17103   160,QUOTES SOCIALS GEST. PARC VALL,37431,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1437 15620   120,ANTIG. I SOU BASE FUNCIONARIS ,160812.31,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1437 15620   121,RETRIB. COMPLEMENTÀRIES FUNCIO,253075,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1437 15620   150,COMPLEMENT PRODUCTIVITAT PB MA,62453,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1437 15620   160,QUOTES SOCIALS PB MAURINA,143471.92,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1438 17101   120,ANTIG. I SOU BASE FUNCIONARIS ,270197,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1438 17101   121,RETRIB. COMPLEMENT. FUNCIONARI,436812,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1438 17101   130,RETRIB. PERSONAL LABORAL FIXE ,80609,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1438 17101   150,COMPLEMENT PRODUCTIVITAT MANT.,132184,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1438 17101   160,QUOTES SOCIALS MANT. JARDINERI,246576,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1511 15501   120,ANTIG. I SOU BASE FUNCIONARIS ,447468.5,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1511 15501   121,RETRIB. COMPLEMEN. FUNCIONARIS,730010.38,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1511 15501   130,RETRIB. PERSONAL LABORAL FIXE ,317612,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1511 15501   150,COMPLEMENT PRODUCTIVITAT MANT.,254803.62,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1511 15501   160,QUOTES SOCIALS MANT. VIA PUBLI,553933,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1533 17002   120,ANTIG. I SOU BASE FUNCIONAR SE,116132.43,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1533 17002   121,RETRIB. COMPLEMEN. FUNCIONARIS,128925.05,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1533 17002   150,COMPLEMENT PRODUCTIVITAT SERV ,34513.84,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1533 17002   160,QUOTES SOCIALS SERV. GNRAL. ME,70856.58,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1533 17003   120,ANTIG. I SOU BASE FUNCIONARIS ,94552,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1533 17003   121,RETRIB. COMPLEM. FUNCIONARIS L,128730,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1533 17003   130,RETRIB. PERSONAL LABORAL FIXE ,0,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1533 17003   150,COMPLEMENT PRODUCTIVITAT LLIC.,37153,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1533 17003   160,QUOTES SOCIALS LLIC. ACT. MEDI,56805,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1533 17004   120,ANTIG. I SOU BASE FUNCIONARIS ,305300,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1533 17004   121,RETRIB. COMPLEMEN. FUNCIONARIS,387598,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1533 17004   150,COMPLEMENT PRODUCTIVITAT PLANI,106029,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1533 17004   160,QUOTES SOCIALS PLANIFIC. AMBIE,190344,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1533 17201   120,ANTIG. I SOU BASE FUNCIONARIS ,70191,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1533 17201   121,RETRIB. COMPLEMENT FUNCIONARIS,85422,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1533 17201   130,RETRIB. PERSONAL LABORAL FIXE ,0,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1533 17201   131,RETRIB. PERSONAL LABORAL TEMPO,21287,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1533 17201   150,COMPLEMENT PRODUCTIVITAT MEDI ,28368,
2012,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,12   1533 17201   160,QUOTES SOCIALS MEDI NATURAL,42994,
2013,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,13   1222 13001   120,ANTIG. SOU BASE FUNCIONARIS SE,302592,
2013,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,13   1222 13001   121,RETRIB. COMPLEMENT. FUNCIONARI,370053,
2013,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,13   1222 13001   130,RETRIB. PERSONAL LABORAL FIXE ,26221,
2013,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,13   1222 13001   150,COMPLEMENT PRODUCTIVITAT SERV.,104404,
2013,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,13   1222 13001   160,QUOTES SOCIALS SERV. ADMIN. PO,211759,
2013,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,13   1222 13201   120,ANTIG. SOU BASE FUNCIONARIS PO,2276313,
2013,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,13   1222 13201   121,RETRIB. COMPLEMENT. FUNCIONARI,5899026,
2013,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,13   1222 13201   150,COMPLEMENT PRODUCTIVITAT POLIC,1048903,
2013,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,13   1222 13201   160,QUOTES SOCIALS POLICIA MUNICIP,2582286,
2013,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,13   1222 13401   120,ANTIG. SOU BASE FUNCIONARIS PR,26350,
2013,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,13   1222 13401   121,RETRIB. COMPLEMENT. FUNCIONARI,37110,
2013,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,13   1222 13401   150,COMPLEMENT PRODUCTIVITAT PROTE,10637,
2013,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,13   1222 13401   160,QUOTES SOCIALS PROTECCIÓ CIVIL,18455,
2013,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,13   1224 13301   120,ANTIG. I SOU BASE FUNCIONARIS ,55210,
2013,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,13   1224 13301   121,RETRIB. COMPLEMENT.FUNCIONARIS,72284,
2013,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,13   1224 13301   150,COMPLEMENT PRODUCTIVITAT MANT.,19400,
2013,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,13   1224 13301   160,QUOTES SOCIALS MANT. SENYALITZ,35438,
2013,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,13   1224 13302   120,ANTIG. SOU BASE FUNCIONARIS GE,68501.44,
2013,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,13   1224 13302   121,RETRIB. COMPLEMENT.FUNCIONARIS,113787.66,
2013,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,13   1224 13302   130,RETRIB. PERSONAL LABORAL FIXE ,49562,
2013,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,13   1224 13302   150,COMPLEMENT PRODUCTIVITAT GESTI,37982.34,
2013,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,13   1224 13302   160,QUOTES SOCIALS GESTIÓ MOBILITA,66325.33,
2013,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,13   1432 15099   120,ANTIG. I SOU FUNCIONARIS ADMIN,103222,
2013,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,13   1432 15099   121,RETRIB. COMPLEMENT. FUNCIONARI,179077,
2013,,,1-SERVICIOS PUBLICOS BASICOS,1-DESPESES DE PERSONAL,13   1432 15099   150,COMPLEMENT PRODUCTIVITAT ADMIN,34103,
